ID,study,ResearchAsisitant,Raven1,Raven2,Raven3,Raven4,Raven5,Raven6,Raven7,Raven8,Raven9,Raven10,Raven11,Raven12,Raven13,Raven14,Raven15,Raven16,Raven17,Raven18,Raven19,Raven20,Raven21,Raven22,Raven23,Raven24,Raven25,Raven26,Raven27,Raven28,Raven29,Raven30,Raven31,Raven32,Raven33,Raven34,Raven35,Raven36,sex,age,Raven_Total,Raven_percentile,Raven_probabilities,Raven_z_scores,Raven_IQ,Raven_IQ_cat,SAI_winsorised,SAI_winsorized_IQ,SAI_residuals,SAI_residuals_abs,Raven_IQ2,SAIQ_IQ_dif,raven_odd,raven_even,raven_even2
121,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,22,26,70,0.7,0.524400513,107.8660077,3,20,135,1.769179731,1.769179731,11635.07562,27.13399231,14,12,144
122,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,22,26,70,0.7,0.524400513,107.8660077,3,20,135,1.769179731,1.769179731,11635.07562,27.13399231,13,13,169
985,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,23,24,60,0.6,0.253347103,103.8002065,3,20,135,2.032079483,2.032079483,10774.48288,31.19979345,12,12,144
168,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,23,24,60,0.6,0.253347103,103.8002065,3,20,135,2.032079483,2.032079483,10774.48288,31.19979345,12,12,144
176,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,23,26,70,0.7,0.524400513,107.8660077,3,20,135,1.769179731,1.769179731,11635.07562,27.13399231,14,12,144
217,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,24,26,70,0.7,0.524400513,107.8660077,3,20,135,1.769179731,1.769179731,11635.07562,27.13399231,14,12,144
1031,data4, ,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,24,60,0.6,0.253347103,103.8002065,3,20,135,2.032079483,2.032079483,10774.48288,31.19979345,13,11,121
244,couples,couples_men,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,25,24,60,0.6,0.253347103,103.8002065,3,20,135,2.032079483,2.032079483,10774.48288,31.19979345,13,11,121
246,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,25,24,60,0.6,0.253347103,103.8002065,3,20,135,2.032079483,2.032079483,10774.48288,31.19979345,14,10,100
1051,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,26,25,65,0.65,0.385320466,105.779807,3,20,135,1.900629607,1.900629607,11189.36757,29.220193,13,12,144
281,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,26,25,65,0.65,0.385320466,105.779807,3,20,135,1.900629607,1.900629607,11189.36757,29.220193,13,12,144
983,data4, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,26,26,70,0.7,0.524400513,107.8660077,3,20,135,1.769179731,1.769179731,11635.07562,27.13399231,13,13,169
284,couples,couples_men,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,26,26,70,0.7,0.524400513,107.8660077,3,20,135,1.769179731,1.769179731,11635.07562,27.13399231,13,13,169
816,motivation,NatGors,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,27,24,60,0.6,0.253347103,103.8002065,3,20,135,2.032079483,2.032079483,10774.48288,31.19979345,12,12,144
1066,data4, ,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,27,25,65,0.65,0.385320466,105.779807,3,20,135,1.900629607,1.900629607,11189.36757,29.220193,12,13,169
299,couples,couples_men,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,27,25,65,0.65,0.385320466,105.779807,3,20,135,1.900629607,1.900629607,11189.36757,29.220193,12,13,169
298,couples,couples_men,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,27,25,65,0.65,0.385320466,105.779807,3,20,135,1.900629607,1.900629607,11189.36757,29.220193,12,13,169
820,motivation,NatGors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,28,24,60,0.6,0.253347103,103.8002065,3,20,135,2.032079483,2.032079483,10774.48288,31.19979345,12,12,144
950,data4, ,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,34,24,63,0.63,0.331853346,104.9778002,3,20,135,2.032079483,2.032079483,11020.33853,30.0221998,10,14,196
361,couples,couples_women,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,34,24,63,0.63,0.331853346,104.9778002,3,20,135,2.032079483,2.032079483,11020.33853,30.0221998,10,14,196
377,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,38,25,71,0.71,0.55338472,108.3007708,3,20,135,1.900629607,1.900629607,11729.05695,26.69922921,13,12,144
982,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,38,26,75,0.75,0.67448975,110.1173463,3,20,135,1.769179731,1.769179731,12125.82995,24.88265375,13,13,169
